n,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Skip,Step,Clock Shift,Tx Power,Tx Narrow,Pager Enable,Comment
58,441.7250,446.7250,5.0000 MHz,Plus,Auto,U84PEA,Y,Tone,103.5,,Scan,Auto,N,High,N,N,PSE Anacortes; W7PSE Network
59,442.4250,447.4250,5.0000 MHz,Plus,Auto,U85PEY,Y,Tone,103.5,,Scan,Auto,N,High,N,N,PSE Mt Blyn; W7PSE Network
60,443.6250,448.6250,5.0000 MHz,Plus,Auto,U86PES,Y,Tone,103.5,,Scan,Auto,N,High,N,N,PSE Sumner; W7PSE Network
61,443.4000,448.4000,5.0000 MHz,Plus,Auto,U87PPC,Y,Tone,123.0,,Scan,Auto,N,High,N,N,K7PP Cougar; K7PP Network; CTCSS 151.4
62,441.2000,446.2000,5.0000 MHz,Plus,Auto,U88PPG,Y,Tone,123.0,,Scan,Auto,N,High,N,N,K7PP Gold; K7PP Network
63,441.3000,446.3000,5.0000 MHz,Plus,Auto,U89PPK,Y,Tone,123.0,,Scan,Auto,N,High,N,N,K7PP KO Pk; K7PP Network; CTCSS 151.4
64,444.6500,449.6500,5.0000 MHz,Plus,Auto,U90TIG,Y,Tone,131.8,,Scan,Auto,N,High,N,N,WA7HJR Tiger; Evergreen Intertie
65,442.6500,447.6500,5.0000 MHz,Plus,Auto,U91GLD,Y,Tone,103.5,,Scan,Auto,N,High,N,N,WW7RA Gold UHF; wide area
66,440.9500,445.9500,5.0000 MHz,Plus,Auto,U92BCK,Y,Tone,110.9,,Scan,Auto,N,High,N,N,K7DK Buck Mt; wide area
67,444.6000,449.6000,5.0000 MHz,Plus,Auto,U93LSQ,Y,Tone,103.5,,Scan,Auto,N,High,N,N,K7LWH Lincoln Square; K7LWH Bellevue
68,440.1000,445.1000,5.0000 MHz,Plus,Auto,U94SLB,Y,Tone,110.9,,Scan,Auto,N,High,N,N,K7SLB Cougar; K7SLB Cougar Mt (formerly Ch 9)
