n,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Skip,Step,Clock Shift,Tx Power,Tx Narrow,Pager Enable,Comment
110,440.625,445.625,5.0000 MHz,Plus,Auto,W7DK,Y,Tone,103.5,,Scan,Auto,N,High,N,N,549;Tacoma
111,443.925,448.925,5.0000 MHz,Plus,Auto,W7FLY,Y,Tone,100,,Scan,Auto,N,High,N,N,Lynnwood
112,443.100,448.100,5.0000 MHz,Plus,Auto,WA7ST,Y,Tone,103.5,,Scan,Auto,N,High,N,N,2779;SeaTac
113,146.660,146.060,600 kHz,Minus,Auto,NC7G,Y,Tone,103.5,,Scan,Auto,N,High,N,N,2780;SeaTac
114,441.125,446.125,5.0000 MHz,Plus,Auto,W7BUR,Y,Tone,103.5,,Scan,Auto,N,High,N,N,19061;Burien
115,443.700,448.700,5.0000 MHz,Plus,Auto,WA7DES,Y,Tone,123,,Scan,Auto,N,High,N,N,22114;Des Moines
116,146.70,146.10,600 kHz,Minus,Auto,N7MHE,Y,Tone,100.0,,Scan,Auto,N,High,N,N,"Moses Lake, WA"
117,444.475,449.475,5.0000 MHz,Plus,Auto,W7NPC,Y,Tone,103.5,,Scan,Auto,N,High,Y,N,480;Bainbridge Isl.
120,147.280,147.880,600 kHz,Plus,Auto,KB7ARA,Y,None,,,Scan,Auto,N,High,N,N,80;Pikes Peak
121,147.320,147.920,600 kHz,Plus,Auto,KA7FVV,Y,Tone,103.5,,Scan,Auto,N,High,N,N,17271;West Twin
122,147.360,147.960,600 kHz,Plus,Auto,N7WRR,Y,None,,,Scan,Auto,N,High,N,N,366;Stensgar Mtn.
123,147.380,147.980,600 kHz,Plus,Auto,N7WRQ,Y,Tone,100.0,,Scan,Auto,N,High,N,N,78;Mica Peak
124,440.075,445.075,5.0000 MHz,Plus,Auto,N7OEP,Y,Tone,103.5,,Scan,Auto,N,High,N,N,9876;Enumclaw
125,443.175,448.175,5.0000 MHz,Plus,Auto,N7OEP,Y,Tone,107.2,,Scan,Auto,N,High,N,N,9912;Enumclaw
126,53.330,51.630,1.7000 MHz,Minus,Auto,N7OEP,Y,Tone,100,,Scan,Auto,N,High,N,N,375;Baldi Mtn.
127,145.250,144.650,600 kHz,Minus,Auto,KB7APU,Y,Tone,186.2,,Scan,Auto,N,High,N,N,16535;Red Mountain
128,441.425,446.425,5.0000 MHz,Plus,Auto,N7KN,Y,Tone,110.9,,Scan,Auto,N,High,N,N,Whidbey Isl.
129,442.725,447.725,5.0000 MHz,Plus,Auto,N7YRC,Y,Tone,127.3,,Scan,Auto,N,High,N,N,7099;Cowiche Mtn.
130,444.750,449.750,5.0000 MHz,Plus,Auto,N7YRC,Y,Tone,131.8,,Scan,Auto,N,High,N,N,17413;Lookout Point
131,53.930,52.230,1.7000 MHz,Minus,Auto,N7YRC,Y,None,,,Scan,Auto,N,High,N,N,21604;Cowiche
132,145.230,144.630,600 kHz,Minus,Auto,N3KPU,Y,Tone,146.2,,Scan,Auto,N,High,N,N,9851;Graham
133,442.750,447.750,5.0000 MHz,Plus,Auto,KE7YYD,Y,Tone,100,,Scan,Auto,N,High,N,N,13889;JBLM
134,147.320,147.920,600 kHz,Plus,Auto,K7CST,Y,Tone,103.5,,Scan,Auto,N,High,N,N,9852;Kent
135,146.860,146.260,600 kHz,Minus,Auto,WA7SAR,Y,Tone,123.0,,Scan,Auto,N,High,N,N,106;Darland Mtn.
136,147.080,147.680,600 kHz,Plus,Auto,WA7SAR,Y,Tone,123.0,,Scan,Auto,N,High,N,N,95;King Mtn.
137,444.600,449.600,5.0000 MHz,Plus,Auto,WA7SAR,Y,Tone,123.0,,Scan,Auto,N,High,N,N,476;Yakima
138,146.700,146.100,600 kHz,Minus,Auto,N7JN,Y,Tone,131.8,,Scan,Auto,N,High,N,N,6196;San Juan Isl.
139,224.480,222.880,1.6000 MHz,Minus,Auto,N7JN,Y,Tone,103.5,,Scan,Auto,N,High,N,N,6394;Mt. Constitution
140,443.450,448.450,5.0000 MHz,Plus,Auto,N7JN,Y,Tone,103.5,,Scan,Auto,N,High,N,N,368;Mt. Constitution
141,224.160,222.560,1.6000 MHz,Minus,Auto,W7ECG,Y,Tone,156.7,,Scan,Auto,N,High,N,N,8854;Lookout Mtn.
142,442.250,447.250,5.0000 MHz,Plus,Auto,W7ECG,Y,Tone,156.7,,Scan,Auto,N,High,N,N,7393;Lookout Mtn.
143,442.825,447.825,5.0000 MHz,Plus,Auto,W7ECG,Y,Tone,156.7,,Scan,Auto,N,High,N,N,7100;Ferndale
144,146.860,146.260,600 kHz,Minus,Auto,W7AVM,Y,Tone,127.3,,Scan,Auto,N,High,N,N,Whidbey Isl.
