Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
63,N7SK,927.413,-,25.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Shelton, WA",,,,
64,WA7LAW,147.180,+,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Everett, WA",,,,
65,WA7LAW,444.575,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Everett, WA",,,,
66,K7PP,147.280,+,0.600000,Tone,123,123,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Mt Octopus, WA",,,,
67,K7PP,441.200,+,5.000000,Tone,123,123,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Gold Mtn, WA",,,,
68,K7PP,441.300,+,5.000000,Tone,123,123,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Ko Peak, WA",,,,
69,K7PP,443.400,+,5.000000,Tone,123,123,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Cougar Mtn, WA",,,,
70,KC7Z,441.175,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,"Gold Mtn, WA",,,,
71,WA7MV,147.320,+,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,206;Tunk Mtn.,,,,
72,WA7MV,146.720,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,400;Benson Creek,,,,
73,WA7MV,444.800,+,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.0,,5.0W,646;Winthrop,,,,
74,K7LWH,145.490,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Kirkland,,,,
75,K7LWH,224.360,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,5326;Kirkland,,,,
76,K7LWH,441.075,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,162;Kirkland,,,,
78,K7LWH,53.170,-,1.700000,Tone,100,100,023,NN,023,Tone->Tone,FM,5.0,,5.0W,165;Kirkland,,,,
79,WR7VHF,146.880,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,283;Spokane,,,,
80,WR7VHF,147.340,+,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,290;Spokane,,,,
81,WR7VHF,444.600,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,17283;Spokane,,,,
82,K7JEP,145.490,-,0.600000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"43;Hoodoo Mtn, ID",,,,
83,K7JEP,444.550,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"23257;Blanchard, ID",,,,
84,K7RHT,147.000,+,0.600000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,17116;Table Mtn.,,,,
85,K7RHT,444.450,+,5.000000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,17115;Table Mtn.,,,,
86,KC7VQR,147.240,+,0.600000,Tone,192.8,192.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,181;Yakima Canyon,,,,
87,W6TQF,440.325,+,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"18543;Augspurger Mtn, WA",,,,
88,KB7APU,145.250,-,0.600000,Tone,186.2,186.2,023,NN,023,Tone->Tone,FM,5.0,,5.0W,16535;Red Mountain,,,,
89,N7MHE,145.350,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"390;Saddle Mtn, WA",,,,
90,K7SWI,224.940,-,1.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"21198;Squaw Butte, ID",,,,
91,K7SWI,444.375,+,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"21386;Squaw Butte, ID",,,,
92,N7UBO,146.740,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"19067;Squaw Butte, ID",,,,
93,KI7PWR,146.920,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"21717;Hat Butte, ID",,,,
94,NE7MC,442.000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,19962;Kenmore,,,,
95,NM7E,145.170,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Belfair, WA",,,,
96,NM7E,224.260,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Belfair, WA",,,,
97,W7ACS,440.525,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Seattle,,,,
98,W7ACS,440.600,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Lake Forest Park,,,,
99,W7ACS,442.300,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Seattle,,,,
100,W7ACS,442.875,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Seattle,,,,
101,W7ACS,443.025,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Seattle,,,,
102,W7ACS,443.200,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,White Center,,,,
103,W7ACS,443.475,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Seattle,,,,
104,W7ACS,443.650,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,North Seattle,,,,
105,W7ACS,444.550,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Seattle,,,,
106,KK7DFL,145.275,-,0.600000,Tone,100,100,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,23719;Olympia,,,,
107,W7DK,145.210,-,0.600000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,324;Tacoma,,,,
108,W7DK,147.280,+,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,324;Tacoma,,,,
109,W7DK,147.380,+,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,325;Crawford Mtn.,,,,
110,W7DK,440.625,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,549;Tacoma,,,,
111,W7FLY,443.925,+,5.000000,Tone,100,100,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Lynnwood,,,,
112,WA7ST,443.100,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,2779;SeaTac,,,,
113,NC7G,146.660,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,2780;SeaTac,,,,
114,W7BUR,441.125,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,19061;Burien,,,,
115,WA7DES,443.700,+,5.000000,Tone,123,123,023,NN,023,Tone->Tone,FM,5.0,,5.0W,22114;Des Moines,,,,
116,N7MHE,146.70,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Moses Lake, WA",,,,
117,W7NPC,444.475,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,480;Bainbridge Isl.,,,,
120,KB7ARA,147.280,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,80;Pikes Peak,,,,
121,KA7FVV,147.320,+,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,17271;West Twin,,,,
122,N7WRR,147.360,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,366;Stensgar Mtn.,,,,
