COMMUNICATIONS RESOURCE AVAILABILITY WORKSHEET,,,,,,,Frequency Band,,,Description,,
,,,,,,,Amateur,,,20250917,,Change Description
,,,,,,,,,,,,
Ch #,"Channel
Configuration",Display Name,Channel/Repeater Name,RX Freq,N/W,"Rx Tone,
CC/TS/TG",TX Freq,N/W,"Tx Tone,
CC/TS/TG",Mode,Remarks,
Analog Voice — VHF High (2m),,,,,,,,,,,,
U32,Repeater,U32P1B,Portable Repeater 1B,440.0000,N,TSQ†,445.0000,N,123.0,A,ACS portable; W7ACS,"New entry, Tone squelch recommended"
U33,Repeater,U33P1C,Portable Repeater 1C,440.0000,N,TSQ†,445.0000,N,141.3,A,ACS portable; W7ACS,"New entry, Tone squelch recommended"
U34,Repeater,U34P2A,Portable Repeater 2A,443.0000,N,TSQ†,448.0000,N,103.5,A,ACS portable; W7ACS,"New entry, Tone squelch recommended"
U35,Repeater,U35P2B,Portable Repeater 2B,443.0000,N,TSQ†,448.0000,N,123.0,A,ACS portable; W7ACS,"New entry, Tone squelch recommended"
U36,Repeater,U36P2C,Portable Repeater 2C,443.0000,N,TSQ†,448.0000,N,141.3,A,ACS portable; W7ACS,"New entry, Tone squelch recommended"
⋮,,,,,,,,,,,,
U41,Repeater,U41CPK,WA EMD Capitol Pk,444.9500,W,CSQ,449.9500,W,118.8,A,N7UJK; BeachNet,
U42,Repeater,U42MSV,MST VAMC UHF,443.5500,W,CSQ†,448.5500,W,103.5,A,WW7MST; MST tactical 70cm and 2m repeaters on the VAMC are currently linked,Added linking text to Remarks
U43,Repeater,U43MSN,MST UWMC Northwest,444.8250,W,CSQ†,449.8250,W,103.5,A,"WW7MST; MST tactical, broken (2025/09)",Added comments to Remarks about non-operational status.
U44,Repeater,U44MST,MST Tacoma General Hosp,443.6750,W,CSQ†,448.6750,W,103.5,A,"WW7MST; MST tactical operational, not linked",
U45,Repeater,U45MSO,MST St Peter Hosp Olympia,440.5500,W,CSQ†,445.5500,W,103.5,A,"WW7MST; MST tactical operational, not linked",
U46,Repeater,U46ARC,Red Cross NW Region,441.5500,W,CSQ†,446.5500,W,103.5,A,WW7ATS Cougar Mt,
⋮,,,,,,,,,,,,
U51,Repeater,U51SLN,Shoreline UHF,440.3000,W,CSQ,445.3000,W,103.5,A,W7AUX Shoreline; liaison preferred,
U52,Repeater,U52KRK,Kirkland UHF,441.0750,W,CSQ,446.0750,W,103.5,A,K7LWH Kirkland,
U53,Repeater,U53RED,Redmond UHF,440.6750,W,CSQ†,445.6750,W,103.5,A,N6OBY Redmond,
U54,Repeater,U54MER,Mercer Is UHF,440.1500,N,CSQ†,445.1500,N,103.5,A,W7MIR Mercer Is,This repeater is now NARROWBAND.
U55,Repeater,U55BEL,Bellevue,441.1000,W,CSQ†,446.1000,W,156.7,A,K7BEL Bellevue,
U56,Repeater,U56SAM,ESFR UHF,440.2500,W,CSQ†,445.2500,W,123.0,A,N7ERP Cougar Mt,
U57,Repeater,U57SQV,Snoq Valley UHF,441.8250,W,CSQ†,446.8250,W,103.5,A,KE7GFZ Cougar Mt,
U58,Repeater,U58SNQ,Snoqualmie UHF,444.9250,N,CSQ†,449.9250,N,85.4,A,N7SNO Snoqualmie,This repeater is now NARROWBAND.
U59,Repeater,U59DES,Des Moines,443.7000,W,CSQ,448.7000,W,123.0,A,WA7DES Des Moines,
U60,Repeater,U60RNT,Renton,441.9750,W,CSQ†,446.9750,W,103.5,A,K7FDF Renton,
