COMMUNICATIONS RESOURCE AVAILABILITY WORKSHEET,,,,,,,Frequency Band,,,Description,
,,,,,,,Amateur,,,20230505,
,,,,,,,,,,,
Ch #,"Channel
Configuration",Display Name,Channel/Repeater Name,RX Freq,"N/W
L/C/U","Rx Tone,
CC/TS/TG",TX Freq,"N/W
L/C/U","Tx Tone,
CC/TS/TG",Mode,Remarks
Analog Voice — VHF High (2m),,,,,,,,,,,
U10,Repeater,U10QA1,Queen Anne 1,444.7000,W,CSQ†,449.7000,W,103.5,A,tactical; WW7SEA; Allstar 48845
U11,Repeater,U11WSE,West Seattle UHF,441.8000,W,CSQ†,446.8000,W,141.3,A,tactical; W7AW
U12,Repeater,U12SSC,South Seattle College,443.3750,W,CSQ†,448.3750,W,103.5,MF,tactical; K7RSD
U13,Repeater,U13WCR,Westcrest,443.2000,W,CSQ†,448.2000,W,141.3,A,tactical; W7ACS
U14,Repeater,U14QA2,Queen Anne 2,444.4250,W,CSQ†,449.4250,W,141.3,MF,tactical; WW7SEA; KOMO Tower
U15,Repeater,U15CH3,Capitol Hill 3,444.3750,W,CSQ†,449.3750,W,88.5,MF,tactical; AJ7JA; Madison/Pine
U16,Repeater,U16CH4,Capitol Hill 4,443.5250,W,CSQ†,448.5250,W,110.9,MP,tactical; K7SLB; Madison/Pine
U17,Repeater,U17PR1,Portable Repeater 1,440.0000,W,CSQ†,445.0000,W,141.3,A,ACS portable; W7ACS
U18,Repeater,U18PR2,Portable Repeater 2,443.0000,W,CSQ†,448.0000,W,141.3,A,ACS portable; W7ACS
⋮,,,,,,,,,,,
U21,Simplex,U21S80,Simplex 445.800,445.8000,W,CSQ,445.8000,W,141.3,A,simplex
U22,Simplex,U22S82,Simplex 445.825,445.8250,W,CSQ,445.8250,W,141.3,A,simplex
U23,Simplex,U23S85,Simplex 445.850,445.8500,W,CSQ,445.8500,W,141.3,A,simplex
U24,Simplex,U24S87,Simplex 445.875,445.8750,W,CSQ,445.8750,W,141.3,A,simplex
U25,Simplex,U25S59,Simplex 445.900,445.9000,W,CSQ,445.9000,W,141.3,A,simplex
U26,Simplex,U26S97,Simplex 445.975,445.9750,W,CSQ,445.9750,W,141.3,A,simplex
U27,Simplex,U27SCA,Simplex Calling 446.000,446.0000,W,CSQ,446.0000,W,141.3,A,simplex calling
