n,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Skip,Step,Clock Shift,Tx Power,Tx Narrow,Pager Enable,Comment
80,223.4200,223.4200,,Simplex,Auto,223420,Y,None,,,Scan,Auto,N,High,N,N,D83: Data 223.42; shared with simplex voice
81,223.4400,223.4400,,Simplex,Auto,223440,Y,None,,,Scan,Auto,N,High,N,N,D84: Data 223.44; shared with simplex voice
82,223.4600,223.4600,,Simplex,Auto,223460,Y,None,,,Scan,Auto,N,High,N,N,D85: Data 223.46; shared with simplex voice
83,223.4800,223.4800,,Simplex,Auto,223480,Y,None,,,Scan,Auto,N,High,N,N,D86: Data 223.48; shared with simplex voice
84,223.5700,223.5700,,Simplex,Auto,223570,Y,None,,,Scan,Auto,N,High,N,N,D87: Data 223.57; within 100 kHz data channel #1
85,223.5900,223.5900,,Simplex,Auto,223590,Y,None,,,Scan,Auto,N,High,N,N,D88: Data 223.59; within 100 kHz data channel #1
86,223.6100,223.6100,,Simplex,Auto,223610,Y,None,,,Scan,Auto,N,High,N,N,D89: Data 223.61; within 100 kHz data channel #1
87,223.6300,223.6300,,Simplex,Auto,223630,Y,None,,,Scan,Auto,N,High,N,N,D90: Data 223.63; within 100 kHz data channel #1
88,223.6500,223.6500,,Simplex,Auto,223650,Y,None,,,Scan,Auto,N,High,N,N,D91: Data 223.65; within 100 kHz data channel #1
89,223.6700,223.6700,,Simplex,Auto,223670,Y,None,,,Scan,Auto,N,High,N,N,D92: Data 223.67; within 100 kHz data channel #2
90,223.6900,223.6900,,Simplex,Auto,223690,Y,None,,,Scan,Auto,N,High,N,N,D93: Data 223.69; within 100 kHz data channel #2
91,223.7100,223.7100,,Simplex,Auto,223710,Y,None,,,Scan,Auto,N,High,N,N,D94: Data 223.71; within 100 kHz data channel #2
92,223.7300,223.7300,,Simplex,Auto,223730,Y,None,,,Scan,Auto,N,High,N,N,D95: Data 223.73; within 100 kHz data channel #2
93,223.7500,223.7500,,Simplex,Auto,223750,Y,None,,,Scan,Auto,N,High,N,N,D96: Data 223.75; within 100 kHz data channel #2
94,223.5800,223.5800,,Simplex,Auto,223580,Y,None,,,Scan,Auto,N,High,N,N,D97: Data 223.580; Kitsap County DEM; VARAFM
