Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
70,U26597,445.9750,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Simplex 445.975; simplex,,,,
71,U27600,446.0000,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Simplex Calling 446.000; simplex calling,,,,
72,U31P1A,440.0000,+,5.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Portable Repeater 1A; ACS portable; W7ACS,,,,
73,U32P1B,440.0000,+,5.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Portable Repeater 1B; ACS portable; W7ACS,,,,
74,U33P1C,440.0000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Portable Repeater 1C; ACS portable; W7ACS,,,,
75,U34P2A,443.0000,+,5.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Portable Repeater 2A; ACS portable; W7ACS,,,,
76,U35P2B,443.0000,+,5.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Portable Repeater 2B; ACS portable; W7ACS,,,,
77,U36P2C,443.0000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Portable Repeater 2C; ACS portable; W7ACS,,,,
78,U41CPK,444.9500,+,5.000000,Tone,118.8,118.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,WA EMD Capitol Pk; N7UJK; BeachNet,,,,
79,U42MSV,443.5500,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,MST VAMC UHF; WW7MST; MST tactical 70cm and 2m repeaters on the VAMC are currently linked,,,,
80,U43MSN,444.8250,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"MST UWMC Northwest; WW7MST; MST tactical, broken (2025/09)",,,,
81,U44MST,443.6750,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"MST Tacoma General Hosp; WW7MST; MST tactical operational, not linked",,,,
82,U45MSO,440.5500,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"MST St Peter Hosp Olympia; WW7MST; MST tactical operational, not linked",,,,
83,U46ARC,441.5500,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Red Cross NW Region; WW7STR Cougar Mt,,,,
84,U51SLN,440.3000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Shoreline UHF; W7AUX Shoreline; liaison preferred,,,,
85,U52KRK,441.0750,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Kirkland UHF; K7LWH Kirkland,,,,
86,U53RED,440.6750,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Redmond UHF; N6OBY Redmond,,,,
87,U54MER,440.1500,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Mercer Is UHF; W7MIR Mercer Is,,,,
88,U55BEL,441.1000,+,5.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Bellevue; K7BEL Bellevue,,,,
89,U56SAM,440.2500,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,ESFR UHF; N7ERP Cougar Mt,,,,
90,U57SQV,441.8250,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Snoq Valley UHF; KE7GFZ Cougar Mt,,,,
91,U58SNQ,444.9250,+,5.000000,Tone,85.4,85.4,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Snoqualmie UHF; N7SNO Snoqualmie,,,,
92,U59DES,443.7000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Des Moines; WA7DES Des Moines,,,,
