Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
71,D52690,52.6900,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 52.69,,,,
72,D52710,52.7100,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 52.71,,,,
73,D52730,52.7300,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 52.73,,,,
74,D52750,52.7500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 52.75,,,,
75,D52770,52.7700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 52.77,,,,
76,D52790,52.7900,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 52.79,,,,
77,223400,223.4000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 223.40; shared with simplex voice,,,,
78,223420,223.4200,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 223.42; shared with simplex voice,,,,
79,223440,223.4400,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 223.44; shared with simplex voice,,,,
80,223460,223.4600,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 223.46; shared with simplex voice,,,,
81,223480,223.4800,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 223.48; shared with simplex voice,,,,
82,223570,223.5700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 223.57; within 100 kHz data channel #1,,,,
83,223590,223.5900,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 223.59; within 100 kHz data channel #1,,,,
84,223610,223.6100,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 223.61; within 100 kHz data channel #1,,,,
85,223630,223.6300,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 223.63; within 100 kHz data channel #1,,,,
86,223650,223.6500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 223.65; within 100 kHz data channel #1,,,,
87,223670,223.6700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 223.67; within 100 kHz data channel #2,,,,
88,223690,223.6900,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 223.69; within 100 kHz data channel #2,,,,
89,223710,223.7100,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 223.71; within 100 kHz data channel #2,,,,
90,223730,223.7300,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 223.73; within 100 kHz data channel #2,,,,
91,223750,223.7500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 223.75; within 100 kHz data channel #2,,,,
